celebrity_name,season,ballroom_partner,age,age_scaled,season,season_scaled,voting_phase,partner_id,partner_name,season_group,industry_Actor/Actress,industry_Astronaut,industry_Athlete,industry_Beauty Pagent,industry_Comedian,industry_Con Artist,industry_Conservationist,industry_Entrepreneur,industry_Fashion Designer,industry_Fitness Instructor,industry_Journalist,industry_Magician,industry_Military,industry_Model,industry_Motivational Speaker,industry_Musician,industry_News Anchor,industry_Politician,industry_Producer,industry_Racing Driver,industry_Radio Personality,industry_Singer/Rapper,industry_Social Media Personality,industry_Sports Broadcaster,industry_Tv Personality,placement,avg_score,last_week
Stacy Keibler,2,Tony Dovolani,26,-0.9288753341114111,2,-1.6731985516774095,1,8,Tony Dovolani,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,27.520812499999998,8
Jerry Rice,2,Anna Trebunskaya,43,0.30611644858139364,2,-1.6731985516774095,1,9,Anna Trebunskaya,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,22.520825000000002,8
Giselle Fernandez,2,Jonathan Roberts,44,0.3787630240339116,2,-1.6731985516774095,1,3,Jonathan Roberts,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8,23.0,3
Master P,2,Ashly DelGrosso,35,-0.27505615503874975,2,-1.6731985516774095,1,4,Ashly DelGrosso,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,12.5,4
Drew Lachey,2,Cheryl Burke,29,-0.7109356077538573,2,-1.6731985516774095,1,10,Cheryl Burke,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,27.437475,8
Kenny Mayne,2,Andrea Hale,46,0.5240561749389474,2,-1.6731985516774095,1,11,Andrea Hale,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,13.0,1
Harry Hamlin,3,Ashly DelGrosso,54,1.1052287785590909,3,-1.5704240272746972,2,4,Ashly DelGrosso,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,20.0,3
Vivica A. Fox,3,Nick Kosovich,42,0.23346987312887574,3,-1.5704240272746972,2,6,Nick Kosovich,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,24.25,4
Monique Coleman,3,Louis van Amstel,25,-1.0015219095639292,3,-1.5704240272746972,2,5,Louis van Amstel,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,24.9375,8
Joey Lawrence,3,Edyta Sliwinska,30,-0.6382890323013394,3,-1.5704240272746972,2,2,Edyta Sliwinska,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,25.88888888888889,9
Mario Lopez,3,Karina Smirnoff,32,-0.49299588139630357,3,-1.5704240272746972,2,12,Karina Smirnoff,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,26.866660000000003,10
Emmitt Smith,3,Cheryl Burke,37,-0.12976300413371392,3,-1.5704240272746972,2,10,Cheryl Burke,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,25.76666,10
Shanna Moakler,3,Jesse DeSoto,31,-0.5656424568488215,3,-1.5704240272746972,2,13,Jesse DeSoto,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10,20.0,2
Willa Ford,3,Maksim Chmerkoskiy,25,-1.0015219095639292,3,-1.5704240272746972,2,7,Maksim Chmerkoskiy,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,24.4,5
Sara Evans,3,Tony Dovolani,35,-0.27505615503874975,3,-1.5704240272746972,2,8,Tony Dovolani,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,21.0,5
Jerry Springer,3,Kym Johnson,62,1.6864013821792343,3,-1.5704240272746972,2,14,Kym Johnson,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,20.428571428571427,7
Tucker Carlson,3,Elena Grinenko,37,-0.12976300413371392,3,-1.5704240272746972,2,15,Elena Grinenko,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,12.0,1
John Ratzenberger,4,Edyta Sliwinska,59,1.4684616558216805,4,-1.4676495028719851,2,2,Edyta Sliwinska,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,19.071428571428573,7
Ian Ziering,4,Cheryl Burke,42,0.23346987312887574,4,-1.4676495028719851,2,10,Cheryl Burke,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,24.27777777777778,9
Clyde Drexler,4,Elena Grinenko,44,0.3787630240339116,4,-1.4676495028719851,2,15,Elena Grinenko,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,15.6,5
Laila Ali,4,Maksim Chmerkoskiy,29,-0.7109356077538573,4,-1.4676495028719851,2,7,Maksim Chmerkoskiy,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,26.233320000000003,10
Apolo Anton Ohno,4,Julianne Hough,24,-1.074168485016447,4,-1.4676495028719851,2,16,Julianne Hough,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,26.883319999999998,10
Shandi Finnessey,4,Brian Fortuna,28,-0.7835821832063753,4,-1.4676495028719851,2,17,Brian Fortuna,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,20.0,3
Paulina Porizkova,4,Alec Mazo,41,0.1608232976763578,4,-1.4676495028719851,2,1,Alec Mazo,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,20.0,2
Heather Mills,4,Jonathan Roberts,39,0.015530146771321949,4,-1.4676495028719851,2,3,Jonathan Roberts,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7,22.166666666666668,6
Billy Ray Cyrus,4,Karina Smirnoff,45,0.4514095994864295,4,-1.4676495028719851,2,12,Karina Smirnoff,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,19.0,8
Joey Fatone,4,Kym Johnson,30,-0.6382890323013394,4,-1.4676495028719851,2,14,Kym Johnson,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,26.76665,10
Leeza Gibbons,4,Tony Dovolani,50,0.8146424767490191,4,-1.4676495028719851,2,8,Tony Dovolani,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9,19.0,4
Cameron Mathison,5,Edyta Sliwinska,38,-0.05711642868119598,5,-1.3648749784692729,2,2,Edyta Sliwinska,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,24.25,8
Jane Seymour,5,Tony Dovolani,56,1.2505219294641268,5,-1.3648749784692729,2,8,Tony Dovolani,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,24.428571428571427,7
Sabrina Bryan,5,Mark Ballas,23,-1.1468150604689649,5,-1.3648749784692729,2,18,Mark Ballas,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,27.0,6
Jennie Garth,5,Derek Hough,35,-0.27505615503874975,5,-1.3648749784692729,2,19,Derek Hough,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,25.27777777777778,9
Floyd Mayweather Jr. ,5,Karina Smirnoff,30,-0.6382890323013394,5,-1.3648749784692729,2,12,Karina Smirnoff,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,20.75,4
Josie Maran,5,Alec Mazo,29,-0.7109356077538573,5,-1.3648749784692729,2,1,Alec Mazo,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12,16.0,1
Albert Reed,5,Anna Trebunskaya,22,-1.219461635921483,5,-1.3648749784692729,2,9,Anna Trebunskaya,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,21.0,2
Helio Castroneves,5,Julianne Hough,32,-0.49299588139630357,5,-1.3648749784692729,2,16,Julianne Hough,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,26.649990000000003,10
Mel B,5,Maksim Chmerkoskiy,32,-0.49299588139630357,5,-1.3648749784692729,2,7,Maksim Chmerkoskiy,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,27.23332,10
Wayne Newton,5,Cheryl Burke,65,1.904341108536788,5,-1.3648749784692729,2,10,Cheryl Burke,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,17.333333333333332,3
Marie Osmond,5,Jonathan Roberts,47,0.5967027503914654,5,-1.3648749784692729,2,3,Jonathan Roberts,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,24.25,10
Mark Cuban,5,Kym Johnson,49,0.7419959012965013,5,-1.3648749784692729,2,14,Kym Johnson,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8,20.4,5
Cristian de la Fuente,6,Cheryl Burke,34,-0.3477027304912677,6,-1.2621004540665606,2,10,Cheryl Burke,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,24.75,10
Steve Guttenberg,6,Anna Trebunskaya,49,0.7419959012965013,6,-1.2621004540665606,2,9,Anna Trebunskaya,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,18.333333333333332,3
Priscilla Presley,6,Louis van Amstel,62,1.6864013821792343,6,-1.2621004540665606,2,5,Louis van Amstel,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,22.8,5
Marlee Matlin,6,Fabian Sanchez,42,0.23346987312887574,6,-1.2621004540665606,2,20,Fabian Sanchez,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,22.333333333333332,6
Shannon Elizabeth,6,Derek Hough,34,-0.3477027304912677,6,-1.2621004540665606,2,19,Derek Hough,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,24.214285714285715,7
Marissa Jaret Winokur,6,Tony Dovolani,35,-0.27505615503874975,6,-1.2621004540665606,2,8,Tony Dovolani,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,23.22222222222222,9
Jason Taylor,6,Edyta Sliwinska,33,-0.4203493059437856,6,-1.2621004540665606,2,2,Edyta Sliwinska,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,26.15,10
Kristi Yamaguchi,6,Mark Ballas,36,-0.20240957958623185,6,-1.2621004540665606,2,18,Mark Ballas,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,28.2,10
Monica Seles,6,Jonathan Roberts,34,-0.3477027304912677,6,-1.2621004540665606,2,3,Jonathan Roberts,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,15.0,2
Penn Jillette,6,Kym Johnson,53,1.032582203106573,6,-1.2621004540665606,2,14,Kym Johnson,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12,16.5,2
Adam Carolla,6,Julianne Hough,43,0.30611644858139364,6,-1.2621004540665606,2,16,Julianne Hough,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9,18.5,4
Mario,6,Karina Smirnoff,21,-1.2921082113740008,6,-1.2621004540665606,2,12,Karina Smirnoff,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,25.25,8
Ted McGinley,7,Inna Brayer,50,0.8146424767490191,7,-1.1593259296638485,2,21,Inna Brayer,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,18.5,1
Cloris Leachman,7,Corky Ballas,82,3.139332891229593,7,-1.1593259296638485,2,22,Corky Ballas,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,17.5,6
Susan Lucci,7,Tony Dovolani,61,1.6137548067267165,7,-1.1593259296638485,2,8,Tony Dovolani,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,21.928571428571427,7
Cody Linley,7,Julianne Hough,18,-1.5100479377315545,7,-1.1593259296638485,2,16,Julianne Hough,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,22.833333333333332,9
Misty May-Treanor,7,Maksim Chmerkoskiy,31,-0.5656424568488215,7,-1.1593259296638485,2,7,Maksim Chmerkoskiy,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,21.0,2
Maurice Greene,7,Cheryl Burke,34,-0.3477027304912677,7,-1.1593259296638485,2,10,Cheryl Burke,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,22.4375,8
Warren Sapp,7,Kym Johnson,35,-0.27505615503874975,7,-1.1593259296638485,2,14,Kym Johnson,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,24.25,10
Jeffrey Ross,7,Edyta Sliwinska,43,0.30611644858139364,7,-1.1593259296638485,2,2,Edyta Sliwinska,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,12.0,1
Toni Braxton,7,Alec Mazo,40,0.08817672222383988,7,-1.1593259296638485,2,1,Alec Mazo,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8,22.3,5
Lance Bass,7,Lacey Schwimmer,29,-0.7109356077538573,7,-1.1593259296638485,2,23,Lacey Schwimmer,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,24.35,10
Kim Kardashian,7,Mark Ballas,27,-0.8562287586588933,7,-1.1593259296638485,2,18,Mark Ballas,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,17.75,2
Rocco DiSpirito,7,Karina Smirnoff,41,0.1608232976763578,7,-1.1593259296638485,2,12,Karina Smirnoff,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9,17.875,4
Brooke Burke,7,Derek Hough,37,-0.12976300413371392,7,-1.1593259296638485,2,19,Derek Hough,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,26.95,10
Gilles Marini,8,Cheryl Burke,33,-0.4203493059437856,8,-1.0565514052611362,2,10,Cheryl Burke,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,27.681818181818183,11
Denise Richards,8,Maksim Chmerkoskiy,38,-0.05711642868119598,8,-1.0565514052611362,2,7,Maksim Chmerkoskiy,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,18.333333333333332,3
David Alan Grier,8,Kym Johnson,52,0.959935627654055,8,-1.0565514052611362,2,14,Kym Johnson,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,20.8,5
Lawrence Taylor,8,Edyta Sliwinska,50,0.8146424767490191,8,-1.0565514052611362,2,2,Edyta Sliwinska,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,19.714285714285715,7
Ty Murray,8,Chelsie Hightower,39,0.015530146771321949,8,-1.0565514052611362,2,24,Chelsie Hightower,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,21.8,10
Shawn Johnson,8,Mark Ballas,17,-1.5826945131840724,8,-1.0565514052611362,2,18,Mark Ballas,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,26.454545454545453,11
Steve Wozniak,8,Karina Smirnoff,58,1.3958150803691627,8,-1.0565514052611362,2,12,Karina Smirnoff,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,13.0,4
Belinda Carlisle,8,Jonathan Roberts,50,0.8146424767490191,8,-1.0565514052611362,2,3,Jonathan Roberts,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13,17.5,2
Chuck Wicks,8,Julianne Hough,29,-0.7109356077538573,8,-1.0565514052611362,2,16,Julianne Hough,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,22.9375,8
Lil' Kim,8,Derek Hough,34,-0.3477027304912677,8,-1.0565514052611362,2,19,Derek Hough,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,25.555555555555557,9
Steve-O,8,Lacey Schwimmer,34,-0.3477027304912677,8,-1.0565514052611362,2,23,Lacey Schwimmer,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8,15.833333333333334,6
Holly Madison,8,Dmitry Chaplin,30,-0.6382890323013394,8,-1.0565514052611362,2,25,Dmitry Chaplin,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,17.25,4
Melissa Rycroft,8,Tony Dovolani,26,-0.9288753341114111,8,-1.0565514052611362,2,8,Tony Dovolani,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,26.681818181818183,11
Ashley Hamiliton,9,Edyta Sliwinska,34,-0.3477027304912677,9,-0.9537768808584242,2,2,Edyta Sliwinska,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,18.9999,1
Debi Mazar,9,Maksim Chmerkoskiy,45,0.4514095994864295,9,-0.9537768808584242,2,7,Maksim Chmerkoskiy,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,20.0,3
Melissa Joan Hart,9,Mark Ballas,33,-0.4203493059437856,9,-0.9537768808584242,2,18,Mark Ballas,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,22.833316666666665,6
Mark Dacascos,9,Lacey Schwimmer,45,0.4514095994864295,9,-0.9537768808584242,2,23,Lacey Schwimmer,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,24.214257142857143,7
Chuck Liddell,9,Anna Trebunskaya,39,0.015530146771321949,9,-0.9537768808584242,2,9,Anna Trebunskaya,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,18.75,4
Natalie Coughlin,9,Alec Mazo,27,-0.8562287586588933,9,-0.9537768808584242,2,1,Alec Mazo,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,23.999959999999998,5
Louie Vito,9,Chelsie Hightower,21,-1.2921082113740008,9,-0.9537768808584242,2,24,Chelsie Hightower,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,21.333299999999998,6
Michael Irvin,9,Anna Demidova,43,0.30611644858139364,9,-0.9537768808584242,2,26,Anna Demidova,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,19.357114285714285,7
Joanna Krupa,9,Derek Hough,30,-0.6382890323013394,9,-0.9537768808584242,2,19,Derek Hough,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,27.055533333333333,9
Kathy Ireland,9,Tony Dovolani,46,0.5240561749389474,9,-0.9537768808584242,2,8,Tony Dovolani,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14,18.99995,2
Tom DeLay,9,Cheryl Burke,62,1.6864013821792343,9,-0.9537768808584242,2,10,Cheryl Burke,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,13,17.666633333333333,3
Macy Gray,9,Jonathan Roberts,42,0.23346987312887574,9,-0.9537768808584242,2,3,Jonathan Roberts,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15,18.9999,1
Aaron Carter,9,Karina Smirnoff,21,-1.2921082113740008,9,-0.9537768808584242,2,12,Karina Smirnoff,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,25.8124625,8
Mya,9,Dmitry Chaplin,29,-0.7109356077538573,9,-0.9537768808584242,2,25,Dmitry Chaplin,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,28.433299999999996,10
Donny Osmond,9,Kym Johnson,51,0.8872890522015371,9,-0.9537768808584242,2,14,Kym Johnson,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,26.46662,10
Kelly Osbourne,9,Louis van Amstel,24,-1.074168485016447,9,-0.9537768808584242,2,5,Louis van Amstel,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,24.472159999999995,10
Aiden Turner,10,Edyta Sliwinska,32,-0.49299588139630357,10,-0.8510023564557119,2,2,Edyta Sliwinska,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,17.625,4
Shannen Doherty,10,Mark Ballas,38,-0.05711642868119598,10,-0.8510023564557119,2,18,Mark Ballas,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,19.0,2
Niecy Nash,10,Louis van Amstel,40,0.08817672222383988,10,-0.8510023564557119,2,5,Louis van Amstel,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,20.999975,8
Buzz Aldrin,10,Ashly DelGrosso,80,2.994039740324557,10,-0.8510023564557119,2,4,Ashly DelGrosso,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,13.0,3
Chad Ochocinco,10,Cheryl Burke,32,-0.49299588139630357,10,-0.8510023564557119,2,10,Cheryl Burke,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,22.166655555555554,9
Evan Lysacek,10,Anna Trebunskaya,24,-1.074168485016447,10,-0.8510023564557119,2,9,Anna Trebunskaya,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,26.288869999999996,10
Pamela Anderson,10,Damian Whitewood,42,0.23346987312887574,10,-0.8510023564557119,2,27,Damian Whitewood,10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6,23.428542857142855,7
Nicole Scherzinger,10,Derek Hough,31,-0.5656424568488215,10,-0.8510023564557119,2,19,Derek Hough,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,28.07776,10
