celebrity_name,ballroom_partner,partner_id,celebrity_industry,celebrity_age_during_season,is_usa,season,voting_rule_phase,placement,total_weeks_participated,avg_score_all_weeks,score_improvement,elimination_week
Jennie Garth,Derek Hough,19,Actor/Actress,35,1,5,2,4,9,8.425925925925926,2.666666666666666,9
Floyd Mayweather Jr. ,Karina Smirnoff,12,Athlete,30,1,5,2,9,4,6.916666666666667,1.666666666666667,4
Josie Maran,Alec Mazo,1,Model,29,1,5,2,12,1,5.333333333333333,,1
Albert Reed,Anna Trebunskaya,9,Model,22,1,5,2,11,2,7.0,0.0,2
Helio Castroneves,Julianne Hough,16,Racing Driver,32,0,5,2,1,10,8.88333,0.9999666666666673,0
Mel B,Maksim Chmerkoskiy,7,Singer/Rapper,32,0,5,2,2,10,9.077773333333333,1.4444,0
Wayne Newton,Cheryl Burke,10,Singer/Rapper,65,1,5,2,10,3,5.777777777777778,-0.33333333333333304,3
Marie Osmond,Jonathan Roberts,3,Singer/Rapper,47,1,5,2,3,10,8.083333333333332,0.666666666666667,0
Mark Cuban,Kym Johnson,14,Tv Personality,49,1,5,2,8,5,6.8,0.0,5
Cristian de la Fuente,Cheryl Burke,10,Actor/Actress,34,0,6,2,3,10,8.25,1.666666666666666,0
Steve Guttenberg,Anna Trebunskaya,9,Actor/Actress,49,1,6,2,10,3,6.111111111111111,1.0,3
Priscilla Presley,Louis van Amstel,5,Actor/Actress,62,1,6,2,8,5,7.6,-1.0,5
Marlee Matlin,Fabian Sanchez,20,Actor/Actress,42,1,6,2,7,6,7.444444444444444,-0.33333333333333304,6
Shannon Elizabeth,Derek Hough,19,Actor/Actress,34,1,6,2,6,7,8.071428571428571,1.5,7
Marissa Jaret Winokur,Tony Dovolani,8,Actor/Actress,35,1,6,2,4,9,7.740740740740741,2.666666666666666,9
Jason Taylor,Edyta Sliwinska,2,Athlete,33,1,6,2,2,10,8.716666666666667,2.166666666666667,0
Kristi Yamaguchi,Mark Ballas,18,Athlete,36,1,6,2,1,10,9.4,1.0,0
Monica Seles,Jonathan Roberts,3,Athlete,34,0,6,2,11,2,5.0,0.0,2
Penn Jillette,Kym Johnson,14,Magician,53,1,6,2,12,2,5.5,0.3333333333333339,2
Adam Carolla,Julianne Hough,16,Radio Personality,43,1,6,2,9,4,6.166666666666666,1.333333333333333,4
Mario,Karina Smirnoff,12,Singer/Rapper,21,1,6,2,5,8,8.416666666666668,0.8333333333333339,8
Ted McGinley,Inna Brayer,21,Actor/Actress,50,1,7,2,12,1,6.166666666666667,,1
Cloris Leachman,Corky Ballas,22,Actor/Actress,82,1,7,2,7,6,5.833333333333333,-0.33333333333333304,6
Susan Lucci,Tony Dovolani,8,Actor/Actress,61,1,7,2,6,7,7.30952380952381,1.833333333333333,7
Cody Linley,Julianne Hough,16,Actor/Actress,18,1,7,2,4,9,7.611111111111111,0.8333333333333339,9
Misty May-Treanor,Maksim Chmerkoskiy,7,Athlete,31,1,7,2,10,2,7.0,0.0,-1
Maurice Greene,Cheryl Burke,10,Athlete,34,1,7,2,5,8,7.479166666666667,1.5,8
Warren Sapp,Kym Johnson,14,Athlete,35,1,7,2,2,10,8.083333333333334,1.9999999999999991,0
Jeffrey Ross,Edyta Sliwinska,2,Comedian,43,1,7,2,13,1,4.0,,1
Toni Braxton,Alec Mazo,1,Singer/Rapper,40,1,7,2,8,5,7.4333333333333345,-0.16666666666666696,5
Lance Bass,Lacey Schwimmer,23,Singer/Rapper,29,1,7,2,3,10,8.116666666666667,1.9999999999999991,0
Kim Kardashian,Mark Ballas,18,Tv Personality,27,1,7,2,11,2,5.916666666666667,-0.5,2
Rocco DiSpirito,Karina Smirnoff,12,Tv Personality,41,1,7,2,9,4,5.958333333333334,0.16666666666666696,4
Brooke Burke,Derek Hough,19,Tv Personality,37,1,7,2,1,10,8.983333333333333,1.833333333333334,0
Gilles Marini,Cheryl Burke,10,Actor/Actress,33,0,8,2,2,11,9.227272727272727,1.666666666666666,0
Denise Richards,Maksim Chmerkoskiy,7,Actor/Actress,38,1,8,2,12,3,6.111111111111111,-0.666666666666667,3
David Alan Grier,Kym Johnson,14,Actor/Actress,52,1,8,2,9,5,6.933333333333333,1.0,5
Lawrence Taylor,Edyta Sliwinska,2,Athlete,50,1,8,2,7,7,6.571428571428571,1.666666666666667,7
Ty Murray,Chelsie Hightower,24,Athlete,39,1,8,2,4,10,7.2666666666666675,3.333333333333333,10
Shawn Johnson,Mark Ballas,18,Athlete,17,1,8,2,1,11,8.818181818181817,2.333333333333333,0
Steve Wozniak,Karina Smirnoff,12,Entrepreneur,58,1,8,2,10,4,4.333333333333334,-0.33333333333333304,4
Belinda Carlisle,Jonathan Roberts,3,Singer/Rapper,50,1,8,2,13,2,5.833333333333334,0.33333333333333304,2
Chuck Wicks,Julianne Hough,16,Singer/Rapper,29,1,8,2,6,8,7.645833333333334,1.833333333333333,8
Lil' Kim,Derek Hough,19,Singer/Rapper,34,1,8,2,5,9,8.518518518518519,1.666666666666666,9
Steve-O,Lacey Schwimmer,23,Tv Personality,34,0,8,2,8,6,5.277777777777778,-0.3333333333333339,6
Holly Madison,Dmitry Chaplin,25,Tv Personality,30,1,8,2,11,4,5.75,-0.666666666666667,4
Melissa Rycroft,Tony Dovolani,8,Tv Personality,26,1,8,2,3,11,8.893939393939394,1.833333333333333,0
Ashley Hamiliton,Edyta Sliwinska,2,Actor/Actress,34,1,9,2,16,1,6.3333,,1
Debi Mazar,Maksim Chmerkoskiy,7,Actor/Actress,45,1,9,2,12,3,6.666666666666667,-1.666666666666666,3
Melissa Joan Hart,Mark Ballas,18,Actor/Actress,33,1,9,2,9,6,7.6111055555555565,-3.333333333355171e-05,6
Mark Dacascos,Lacey Schwimmer,23,Actor/Actress,45,1,9,2,6,7,8.071419047619047,-2.499933333333334,7
Chuck Liddell,Anna Trebunskaya,9,Athlete,39,1,9,2,11,4,6.25,-1.666666666666666,4
Natalie Coughlin,Alec Mazo,1,Athlete,27,1,9,2,10,5,7.999986666666667,-1.6665999999999999,5
Louie Vito,Chelsie Hightower,24,Athlete,21,1,9,2,8,6,7.1111,-0.9999333333333329,6
Michael Irvin,Anna Demidova,26,Athlete,43,1,9,2,7,7,6.452371428571429,1.5,7
Joanna Krupa,Derek Hough,19,Model,30,0,9,2,4,9,9.01851111111111,-2.3332999999999995,9
Kathy Ireland,Tony Dovolani,8,Model,46,1,9,2,14,2,6.333316666666667,-0.6666333333333334,2
Tom DeLay,Cheryl Burke,10,Politician,62,1,9,2,13,3,5.888877777777778,-1.6666333333333334,-1
Macy Gray,Jonathan Roberts,3,Singer/Rapper,42,1,9,2,15,1,6.3333,,1
Aaron Carter,Karina Smirnoff,12,Singer/Rapper,21,1,9,2,5,8,8.604154166666667,-2.3332999999999977,8
Mya,Dmitry Chaplin,25,Singer/Rapper,29,1,9,2,2,10,9.477766666666668,-0.8888999999999996,0
Donny Osmond,Kym Johnson,14,Singer/Rapper,51,1,9,2,1,10,8.822206666666668,-0.3333666666666648,0
Kelly Osbourne,Louis van Amstel,5,Tv Personality,24,0,9,2,3,10,8.157386666666666,-1.925866666666666,0
Aiden Turner,Edyta Sliwinska,2,Actor/Actress,32,0,10,2,9,4,5.875,0.5,4
Shannen Doherty,Mark Ballas,18,Actor/Actress,38,1,10,2,11,2,6.333333333333334,0.666666666666667,2
Niecy Nash,Louis van Amstel,5,Actor/Actress,40,1,10,2,5,8,6.999991666666666,1.166666666666667,8
Buzz Aldrin,Ashly DelGrosso,4,Astronaut,80,1,10,2,10,3,4.333333333333333,-0.3333333333333339,3
Chad Ochocinco,Cheryl Burke,10,Athlete,32,1,10,2,4,9,7.388885185185185,2.666666666666666,9
Evan Lysacek,Anna Trebunskaya,9,Athlete,24,1,10,2,2,10,8.762956666666668,1.2962333333333325,0
Pamela Anderson,Damian Whitewood,27,Model,42,0,10,2,6,7,7.809514285714285,1.5,7
Nicole Scherzinger,Derek Hough,19,Singer/Rapper,31,1,10,2,1,10,9.359253333333333,1.2592333333333325,0
Erin Andrews,Maksim Chmerkoskiy,7,Sports Broadcaster,32,1,10,2,3,10,8.31666,1.999933333333333,0
Kate Gosselin,Tony Dovolani,8,Tv Personality,35,1,10,2,8,5,5.133333333333333,-0.33333333333333304,5
Jake Pavelka,Chelsie Hightower,24,Tv Personality,32,1,10,2,7,6,7.111105555555555,1.6666333333333325,6
David Hasselhoff,Kym Johnson,14,Actor/Actress,58,1,11,2,12,1,5.0,,1
Florence Henderson,Corky Ballas,22,Actor/Actress,76,1,11,2,8,5,6.366666666666666,1.0,5
Kyle Massey,Lacey Schwimmer,23,Actor/Actress,19,1,11,2,2,10,8.248603333333332,1.444399999999999,0
Jennifer Grey,Derek Hough,19,Actor/Actress,50,1,11,2,1,10,8.995833333333334,2.0,0
Rick Fox,Cheryl Burke,10,Athlete,41,0,11,2,6,7,7.922619047619047,1.291666666666667,7
Kurt Warner,Anna Trebunskaya,9,Athlete,39,1,11,2,5,8,7.343745833333333,1.666666666666667,8
Margaret Cho,Louis van Amstel,5,Comedian,41,1,11,2,10,3,5.666666666666667,1.0,3
Michael Bolton,Chelsie Hightower,24,Singer/Rapper,57,1,11,2,11,2,4.666666666666666,-1.333333333333333,2
Brandy,Maksim Chmerkoskiy,7,Singer/Rapper,31,1,11,2,4,9,8.865737037037038,1.833333333333333,9
The Situation,Karina Smirnoff,12,Tv Personality,28,1,11,2,9,4,5.583333333333334,-0.33333333333333304,4
Audrina Patridge,Tony Dovolani,8,Tv Personality,25,1,11,2,7,6,8.1111,4.333266666666668,6
Bristol Palin,Mark Ballas,18,Tv Personality,19,1,11,2,3,10,7.368046666666666,2.5555333333333348,0
Ralph Macchio,Karina Smirnoff,12,Actor/Actress,49,1,12,2,4,9,7.731481481481483,0.0,9
Chelsea Kane,Mark Ballas,18,Actor/Actress,22,1,12,2,3,10,8.655553333333334,2.888866666666667,0
Kirstie Alley,Maksim Chmerkoskiy,7,Actor/Actress,60,1,12,2,2,10,7.966663333333334,1.6666333333333325,0
Hines Ward,Kym Johnson,14,Athlete,35,0,12,2,1,10,8.64722,2.888866666666667,0
Sugar Ray Leonard,Anna Trebunskaya,9,Athlete,54,1,12,2,9,4,6.25,1.333333333333333,4
Chris Jericho,Cheryl Burke,10,Athlete,40,1,12,2,7,6,7.4444444444444455,1.0,6
Petra Nemcova,Dmitry Chaplin,25,Model,31,0,12,2,8,5,7.066666666666667,1.333333333333333,5
Mike Catherwood,Lacey Schwimmer,23,Radio Personality,32,1,12,2,11,2,5.0,1.333333333333334,2
Romeo,Chelsie Hightower,24,Singer/Rapper,21,1,12,2,5,8,7.8125,2.333333333333333,8
Wendy Williams,Tony Dovolani,8,Tv Personality,46,1,12,2,10,3,5.111111111111112,0.33333333333333304,3
Kendra Wilkinson,Louis van Amstel,5,Tv Personality,25,1,12,2,6,7,7.041666666666667,1.625,7
Elisabetta Canalis,Valentin Chmerkovskiy,28,Actor/Actress,33,0,13,2,11,2,6.0,2.0,2
David Arquette,Kym Johnson,14,Actor/Actress,40,1,13,2,6,7,7.357142857142857,1.833333333333333,7
Ricki Lake,Derek Hough,19,Actor/Actress,42,1,13,2,3,10,8.86666,2.6666333333333325,0
J.R. Martinez,Karina Smirnoff,12,Actor/Actress,28,1,13,2,1,10,8.772216666666667,2.0554999999999994,0
Metta World Peace (Ron),Peta Murgatroyd,29,Athlete,31,1,13,2,12,1,4.666666666666667,,1
Hope Solo,Maksim Chmerkoskiy,7,Athlete,30,1,13,2,4,9,7.685177777777778,1.1666000000000007,9
Chynna Phillips,Tony Dovolani,8,Singer/Rapper,43,1,13,2,9,4,7.5,-0.33333333333333304,4
Kristin Cavallari,Mark Ballas,18,Tv Personality,24,1,13,2,10,3,7.222222222222221,1.666666666666667,3
Carson Kressley,Anna Trebunskaya,9,Tv Personality,41,1,13,2,8,5,6.466666666666667,0.6666666666666661,5
Chaz Bono,Lacey Schwimmer,23,Tv Personality,42,1,13,2,7,6,6.277777777777779,0.6666666666666661,6
Nancy Grace,Tristan MacManus,30,Tv Personality,51,1,13,2,5,8,7.041666666666666,2.0,8
Rob Kardashian,Cheryl Burke,10,Tv Personality,24,1,13,2,2,10,8.127766666666668,4.111066666666667,0
William Levy,Cheryl Burke,10,Actor/Actress,31,0,14,2,3,10,9.255553333333335,1.888866666666667,0
Jack Wagner,Anna Trebunskaya,9,Actor/Actress,52,1,14,2,11,3,7.555555555555556,0.33333333333333304,3
Sherri Sheperd,Valentin Chmerkovskiy,28,Actor/Actress,44,1,14,2,10,4,7.583333333333334,-0.666666666666667,4
Jaleel White,Kym Johnson,14,Actor/Actress,35,1,14,2,7,7,8.642847619047618,-0.16666666666666607,7
Roshon Fegan,Chelsie Hightower,24,Actor/Actress,20,1,14,2,6,8,8.666658333333332,1.666666666666667,8
Melissa Gilbert,Maksim Chmerkoskiy,7,Actor/Actress,47,1,14,2,5,8,7.749999999999999,1.833333333333333,8
Martina Navratilova,Tony Dovolani,8,Athlete,55,0,14,2,12,2,6.166666666666667,-1.0,2
Donald Driver,Peta Murgatroyd,29,Athlete,37,1,14,2,1,10,9.038883333333334,2.888866666666667,0
Gavin DeGraw,Karina Smirnoff,12,Singer/Rapper,35,1,14,2,9,5,7.133333333333335,-0.3333333333333339,5
Gladys Knight,Tristan MacManus,30,Singer/Rapper,67,1,14,2,8,6,7.333333333333333,0.33333333333333304,6
Katherine Jenkins,Mark Ballas,18,Singer/Rapper,31,0,14,2,2,10,9.516663333333332,1.333333333333334,0
Maria Menounos,Derek Hough,19,Tv Personality,33,1,14,2,4,9,8.907403703703704,2.833333333333334,9
Gilles Marini,Peta Murgatroyd,29,Actor/Actress,36,0,15,2,6,8,9.298020833333332,1.7592333333333325,8
Sabrina Bryan,Louis van Amstel,5,Actor/Actress,28,1,15,2,8,6,8.881944444444445,2.5,6
Kirstie Alley,Maksim Chmerkoskiy,7,Actor/Actress,61,1,15,2,7,8,8.0729125,2.166666666666667,8
Kelly Monaco,Valentin Chmerkovskiy,28,Actor/Actress,36,1,15,2,3,10,9.064340000000001,2.5369666666666673,0
Apolo Anton Ohno,Karina Smirnoff,12,Athlete,30,1,15,2,5,9,9.148655555555557,2.2036666666666678,9
Emmitt Smith,Cheryl Burke,10,Athlete,43,1,15,2,4,9,9.039085185185185,0.8333333333333339,9
Shawn Johnson,Derek Hough,19,Athlete,20,1,15,2,2,10,9.455079999999999,2.314766666666668,0
Pamela Anderson,Tristan MacManus,30,Model,45,0,15,2,13,1,5.666666666666667,,1
Helio Castroneves,Chelsie Hightower,24,Racing Driver,37,0,15,2,10,3,7.777777777777779,1.333333333333333,3
Joey Fatone,Kym Johnson,14,Singer/Rapper,35,1,15,2,12,2,7.166666666666666,0.666666666666667,2
Drew Lachey,Anna Trebunskaya,9,Singer/Rapper,36,1,15,2,11,3,7.555555555555556,0.833333333333333,3
Bristol Palin,Mark Ballas,18,Tv Personality,21,1,15,2,9,4,7.0,1.5,4
Melissa Rycroft,Tony Dovolani,8,Tv Personality,29,1,15,2,1,10,9.470356666666666,2.7776999999999994,0
Ingo Rademacher,Kym Johnson,14,Actor/Actress,41,0,16,2,5,9,7.5,1.833333333333333,9
Zendaya,Valentin Chmerkovskiy,28,Actor/Actress,16,1,16,2,2,10,9.099993333333334,2.0,0
Dorothy Hamill,Tristan MacManus,30,Athlete,56,1,16,2,12,2,6.0,-2.0,-1
Victor Ortiz,Lindsay Arnold,31,Athlete,26,1,16,2,8,6,6.555555555555556,0.666666666666667,6
Alexandra Raisman,Mark Ballas,18,Athlete,18,1,16,2,4,10,8.816666666666666,2.666666666666666,10
Jacoby Jones,Karina Smirnoff,12,Athlete,28,1,16,2,3,10,8.399989999999999,2.6666333333333325,0
D. L. Hughley,Cheryl Burke,10,Comedian,50,1,16,2,9,5,5.533333333333333,2.0,5
Andy Dick,Sharna Burgess,32,Comedian,47,1,16,2,7,7,6.30952380952381,0.0,7
Wynonna Judd,Tony Dovolani,8,Singer/Rapper,48,1,16,2,11,3,5.666666666666667,-1.0,3
Kellie Pickler,Derek Hough,19,Singer/Rapper,26,1,16,2,1,10,8.916666666666668,3.0,0
Lisa Vanderpump,Gleb Savchenko,33,Tv Personality,52,0,16,2,10,4,6.25,0.0,4
Sean Lowe,Peta Murgatroyd,29,Tv Personality,29,1,16,2,6,8,7.166666666666667,0.666666666666667,8
Valerie Harper,Tristan MacManus,30,Actor/Actress,74,1,17,2,10,4,6.166666666666666,-1.0,4
Brant Daugherty,Peta Murgatroyd,29,Actor/Actress,28,1,17,2,7,8,8.604166666666668,1.666666666666667,8
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,28,Actor/Actress,39,1,17,2,6,9,8.851844444444446,1.333333333333334,9
Leah Remini,Tony Dovolani,8,Actor/Actress,43,1,17,2,5,10,8.29583,1.125,10
Corbin Bleu,Karina Smirnoff,12,Actor/Actress,24,1,17,2,2,11,9.220948484848485,1.8887999999999998,0
Amber Riley,Derek Hough,19,Actor/Actress,27,1,17,2,1,11,9.210851515151516,1.4444,0
Keyshawn Johnson,Sharna Burgess,32,Athlete,41,1,17,2,12,2,5.833333333333334,0.33333333333333304,2
Bill Engvall,Emma Slater,34,Comedian,56,1,17,2,4,11,7.575751515151516,2.4999666666666656,11
Christina Milian,Mark Ballas,18,Singer/Rapper,31,1,17,2,9,5,8.333333333333332,2.000000000000001,5
"Nicole ""Snooki"" Polizzi",Sasha Farber,35,Tv Personality,25,0,17,2,8,7,8.380952380952381,1.333333333333333,7
Jack Osbourne,Cheryl Burke,10,Tv Personality,27,0,17,2,3,11,8.700748484848484,1.6666333333333325,0
Bill Nye,Tyne Stecklein,36,Tv Personality,57,1,17,2,11,3,5.222222222222222,0.6666666666666661,3
Billy Dee Williams,Emma Slater,34,Actor/Actress,76,1,18,2,10,2,5.0,0.0,-1
Danica McKellar,Valentin Chmerkovskiy,28,Actor/Actress,39,1,18,2,6,8,8.78125,1.5,8
James Maslow,Peta Murgatroyd,29,Actor/Actress,23,1,18,2,4,10,8.875000000000002,2.666666666666666,10
Candace Cameron Bure,Mark Ballas,18,Actor/Actress,37,1,18,2,3,10,8.299993333333335,0.3332666666666668,0
Sean Avery,Karina Smirnoff,12,Athlete,33,0,18,2,11,2,6.833333333333334,0.33333333333333304,2
Diana Nyad,Henry Byalikov,37,Athlete,64,1,18,2,12,1,6.0,,2
Charlie White,Sharna Burgess,32,Athlete,26,1,18,2,5,9,9.023148148148149,0.5,9
Amy Purdy,Derek Hough,19,Athlete,34,1,18,2,2,10,9.126386666666667,1.888866666666667,0
Meryl Davis,Maksim Chmerkoskiy,7,Athlete,27,1,18,2,1,10,9.358333333333334,2.0,0
Drew Carey,Cheryl Burke,10,Comedian,55,1,18,2,8,6,7.458333333333333,1.0,6
Cody Simpson,Witney Carson,38,Singer/Rapper,17,0,18,2,9,5,7.933333333333333,1.166666666666667,5
NeNe Leakes,Tony Dovolani,8,Tv Personality,46,1,18,2,7,7,7.892857142857143,1.25,7
Antonio Sabato Jr.,Cheryl Burke,10,Actor/Actress,42,0,19,2,8,7,7.125,1.125,7
Jonathan Bennett,Allison Holker,39,Actor/Actress,33,1,19,2,9,6,7.166666666666667,0.5,6
Lea Thompson,Artem Chigvintsev,40,Actor/Actress,53,1,19,2,6,9,8.472222222222221,0.75,9
Janel Parrish,Valentin Chmerkovskiy,28,Actor/Actress,25,1,19,2,3,11,9.04545,2.499950000000002,0
Alfonso Ribeiro,Witney Carson,38,Actor/Actress,42,1,19,2,1,11,9.181818181818182,1.0,0
Lolo Jones,Keo Motsepe,41,Athlete,32,1,19,2,13,1,5.5,,1
Randy Couture,Karina Smirnoff,12,Athlete,51,1,19,2,11,3,7.083333333333333,-1.25,3
Tommy Chong,Peta Murgatroyd,29,Comedian,76,0,19,2,5,10,7.1625,1.0,10
Betsey Johnson,Tony Dovolani,8,Fashion Designer,72,1,19,2,10,4,6.625,2.25,4
Michael Waltrip,Emma Slater,34,Racing Driver,51,1,19,2,7,8,6.40625,0.0,8
Tavis Smiley,Sharna Burgess,32,Radio Personality,50,1,19,2,12,2,7.125,-0.25,2
Bethany Mota,Derek Hough,19,Social Media Personality,18,1,19,2,4,11,9.011363636363637,1.5,11
Sadie Robertson,Mark Ballas,18,Tv Personality,17,1,19,2,2,11,8.791663636363637,1.3333000000000013,0
Suzanne Somers,Tony Dovolani,8,Actor/Actress,68,1,20,2,9,5,6.7,0.75,5
Willow Shields,Mark Ballas,18,Actor/Actress,14,1,20,2,7,7,8.482142857142858,3.5,7
Riker Lynch,Allison Holker,39,Actor/Actress,23,1,20,2,2,10,9.075,2.25,0
Rumer Willis,Valentin Chmerkovskiy,28,Actor/Actress,26,1,20,2,1,10,9.0625,2.0,0
Nastia Liukin,Derek Hough,19,Athlete,25,0,20,2,4,9,9.097222222222221,2.5,9
Michael Sam,Peta Murgatroyd,29,Athlete,25,1,20,2,10,4,6.75,1.0,4
Robert Herjavec,Kym Johnson,14,Entrepreneur,52,0,20,2,6,8,7.453125,0.75,8
Charlotte McKinney,Keo Motsepe,41,Model,21,1,20,2,11,3,5.833333333333333,0.0,3
Noah Galloway,Sharna Burgess,32,Motivational Speaker,33,1,20,2,3,10,8.0125,2.5,0
Redfoo,Emma Slater,34,Singer/Rapper,39,1,20,2,12,2,6.625,2.25,2
Patti LaBelle,Artem Chigvintsev,40,Singer/Rapper,70,1,20,2,8,6,6.916666666666667,2.25,6
Chris Soules,Witney Carson,38,Tv Personality,33,1,20,2,5,8,7.09375,1.5,8
Gary Busey,Anna Trebunskaya,9,Actor/Actress,71,1,21,2,10,4,5.520833333333333,0.33333333333333304,4
Alexa PenaVega,Mark Ballas,18,Actor/Actress,27,1,21,2,6,9,8.518511111111112,2.666666666666667,9
Carlos PenaVega,Witney Carson,38,Actor/Actress,26,1,21,2,4,11,8.999993939393939,2.333333333333333,11
Victor Espinoza,Karina Smirnoff,12,Athlete,43,0,21,2,12,2,5.583333333333334,1.166666666666667,2
Alek Skarlatos,Lindsay Arnold,31,Military,22,1,21,2,3,11,8.212118181818182,1.9999666666666664,0
Chaka Khan,Keo Motsepe,41,Singer/Rapper,62,1,21,2,13,2,4.666666666666666,0.666666666666667,2
Andy Grammer,Allison Holker,39,Singer/Rapper,31,1,21,2,7,8,8.197908333333334,0.9999333333333338,8
Tamar Braxton,Valentin Chmerkovskiy,28,Singer/Rapper,38,1,21,2,5,9,8.537037037037036,0.4999999999999991,-1
Nick Carter,Sharna Burgess,32,Singer/Rapper,35,1,21,2,2,11,9.106060606060607,2.0,0
Hayes Grier,Emma Slater,34,Social Media Personality,15,1,21,2,8,7,7.976190476190476,2.333333333333334,7
Bindi Irwin,Derek Hough,19,Tv Personality,17,0,21,2,1,11,9.280303030303031,2.0,0
Kim Zolciak-Biermann,Tony Dovolani,8,Tv Personality,37,1,21,2,11,2,5.083333333333334,2.166666666666667,-1
Paula Deen,Louis van Amstel,5,Tv Personality,68,1,21,2,9,6,5.777777777777779,1.0,6
