celebrity_name,season,week,voting_rule_phase,judge_count,weekly_total,weekly_avg,is_eliminated_this_week,placement
Drew Lachey,2,2,1,4,27.0,9.0,0,1
Drew Lachey,2,3,1,4,27.0,9.0,0,1
Drew Lachey,2,4,1,4,28.0,9.333333333333334,0,1
Drew Lachey,2,5,1,4,27.0,9.0,0,1
Drew Lachey,2,6,1,4,30.0,10.0,0,1
Drew Lachey,2,7,1,4,27.5,9.166666666666666,0,1
Drew Lachey,2,8,1,4,28.9998,9.6666,0,1
Kenny Mayne,2,1,1,4,13.0,4.333333333333333,1,10
Harry Hamlin,3,1,2,4,17.0,5.666666666666667,0,9
Harry Hamlin,3,2,2,4,21.0,7.0,0,9
Harry Hamlin,3,3,2,4,22.0,7.333333333333333,1,9
Vivica A. Fox,3,1,2,4,22.0,7.333333333333333,0,8
Vivica A. Fox,3,2,2,4,24.0,8.0,0,8
Vivica A. Fox,3,3,2,4,27.0,9.0,0,8
Vivica A. Fox,3,4,2,4,24.0,8.0,1,8
Monique Coleman,3,1,2,4,19.0,6.333333333333333,0,4
Monique Coleman,3,2,2,4,26.0,8.666666666666666,0,4
Monique Coleman,3,3,2,4,27.0,9.0,0,4
Monique Coleman,3,4,2,4,24.0,8.0,0,4
Monique Coleman,3,5,2,4,27.0,9.0,0,4
Monique Coleman,3,6,2,4,23.0,7.666666666666667,0,4
Monique Coleman,3,7,2,4,27.0,9.0,0,4
Monique Coleman,3,8,2,4,26.5,8.833333333333334,1,4
Joey Lawrence,3,1,2,4,21.0,7.0,0,3
Joey Lawrence,3,2,2,4,29.0,9.666666666666666,0,3
Joey Lawrence,3,3,2,4,22.0,7.333333333333333,0,3
Joey Lawrence,3,4,2,4,27.0,9.0,0,3
Joey Lawrence,3,5,2,4,25.0,8.333333333333334,0,3
Joey Lawrence,3,6,2,4,24.0,8.0,0,3
Joey Lawrence,3,7,2,4,28.5,9.5,0,3
Joey Lawrence,3,8,2,4,27.0,9.0,0,3
Joey Lawrence,3,9,2,4,29.5,9.833333333333334,0,3
Mario Lopez,3,1,2,4,26.0,8.666666666666666,0,2
Mario Lopez,3,2,2,4,21.0,7.0,0,2
Mario Lopez,3,3,2,4,22.0,7.333333333333333,0,2
Mario Lopez,3,4,2,4,29.0,9.666666666666666,0,2
Mario Lopez,3,5,2,4,27.0,9.0,0,2
Mario Lopez,3,6,2,4,28.0,9.333333333333334,0,2
Mario Lopez,3,7,2,4,28.0,9.333333333333334,0,2
Mario Lopez,3,8,2,4,28.5,9.5,0,2
Mario Lopez,3,9,2,4,29.5,9.833333333333334,0,2
Mario Lopez,3,10,2,4,29.666600000000003,9.888866666666667,0,2
Emmitt Smith,3,1,2,4,24.0,8.0,0,1
Emmitt Smith,3,2,2,4,24.0,8.0,0,1
Emmitt Smith,3,3,2,4,19.0,6.333333333333333,0,1
Emmitt Smith,3,4,2,4,24.0,8.0,0,1
Emmitt Smith,3,5,2,4,27.0,9.0,0,1
Emmitt Smith,3,6,2,4,25.0,8.333333333333334,0,1
Emmitt Smith,3,7,2,4,28.5,9.5,0,1
Emmitt Smith,3,8,2,4,27.0,9.0,0,1
Emmitt Smith,3,9,2,4,29.5,9.833333333333334,0,1
Emmitt Smith,3,10,2,4,29.666600000000003,9.888866666666667,0,1
Shanna Moakler,3,1,2,4,18.0,6.0,0,10
Shanna Moakler,3,2,2,4,22.0,7.333333333333333,1,10
Willa Ford,3,1,2,4,22.0,7.333333333333333,0,7
Willa Ford,3,2,2,4,23.0,7.666666666666667,0,7
Willa Ford,3,3,2,4,22.0,7.333333333333333,0,7
Willa Ford,3,4,2,4,28.0,9.333333333333334,0,7
Willa Ford,3,5,2,4,27.0,9.0,1,7
Sara Evans,3,1,2,4,15.0,5.0,0,6
Sara Evans,3,2,2,4,21.0,7.0,0,6
Sara Evans,3,3,2,4,25.0,8.333333333333334,0,6
Sara Evans,3,4,2,4,20.0,6.666666666666667,0,6
Sara Evans,3,5,2,4,24.0,8.0,0,6
Jerry Springer,3,1,2,4,16.0,5.333333333333333,0,5
Jerry Springer,3,2,2,4,19.0,6.333333333333333,0,5
Jerry Springer,3,3,2,4,21.0,7.0,0,5
Jerry Springer,3,4,2,4,22.0,7.333333333333333,0,5
Jerry Springer,3,5,2,4,24.0,8.0,0,5
Jerry Springer,3,6,2,4,18.0,6.0,0,5
Jerry Springer,3,7,2,4,23.0,7.666666666666667,1,5
Tucker Carlson,3,1,2,4,12.0,4.0,1,11
John Ratzenberger,4,1,2,4,17.0,5.666666666666667,0,6
John Ratzenberger,4,2,2,4,21.0,7.0,0,6
John Ratzenberger,4,3,2,4,20.0,6.666666666666667,0,6
John Ratzenberger,4,4,2,4,16.0,5.333333333333333,0,6
John Ratzenberger,4,5,2,4,18.0,6.0,0,6
John Ratzenberger,4,6,2,4,19.0,6.333333333333333,0,6
John Ratzenberger,4,7,2,4,22.5,7.5,1,6
Ian Ziering,4,1,2,4,21.0,7.0,0,4
Ian Ziering,4,2,2,4,22.0,7.333333333333333,0,4
Ian Ziering,4,3,2,4,24.0,8.0,0,4
Ian Ziering,4,4,2,4,24.0,8.0,0,4
Ian Ziering,4,5,2,4,24.0,8.0,0,4
Ian Ziering,4,6,2,4,24.0,8.0,0,4
Ian Ziering,4,7,2,4,27.0,9.0,0,4
Ian Ziering,4,8,2,4,23.5,7.833333333333333,0,4
Ian Ziering,4,9,2,4,29.0,9.666666666666666,1,4
Clyde Drexler,4,1,2,4,16.0,5.333333333333333,0,8
Clyde Drexler,4,2,2,4,18.0,6.0,0,8
Clyde Drexler,4,3,2,4,16.0,5.333333333333333,0,8
Clyde Drexler,4,4,2,4,15.0,5.0,0,8
Clyde Drexler,4,5,2,4,13.0,4.333333333333333,1,8
Laila Ali,4,1,2,4,23.0,7.666666666666667,0,3
Laila Ali,4,2,2,4,27.0,9.0,0,3
Laila Ali,4,3,2,4,21.0,7.0,0,3
Laila Ali,4,4,2,4,21.0,7.0,0,3
Laila Ali,4,5,2,4,28.0,9.333333333333334,0,3
Laila Ali,4,6,2,4,28.0,9.333333333333334,0,3
Laila Ali,4,7,2,4,29.5,9.833333333333334,0,3
Laila Ali,4,8,2,4,26.5,8.833333333333334,0,3
Laila Ali,4,9,2,4,30.0,10.0,0,3
Laila Ali,4,10,2,4,28.333200000000005,9.444400000000002,0,3
Apolo Anton Ohno,4,1,2,4,21.0,7.0,0,1
Apolo Anton Ohno,4,2,2,4,26.0,8.666666666666666,0,1
Apolo Anton Ohno,4,3,2,4,23.0,7.666666666666667,0,1
Apolo Anton Ohno,4,4,2,4,26.0,8.666666666666666,0,1
Apolo Anton Ohno,4,5,2,4,30.0,10.0,0,1
Apolo Anton Ohno,4,6,2,4,28.0,9.333333333333334,0,1
Apolo Anton Ohno,4,7,2,4,27.0,9.0,0,1
Apolo Anton Ohno,4,8,2,4,29.0,9.666666666666666,0,1
Apolo Anton Ohno,4,9,2,4,29.5,9.833333333333334,0,1
Apolo Anton Ohno,4,10,2,4,29.3332,9.777733333333334,0,1
Shandi Finnessey,4,1,2,4,19.0,6.333333333333333,0,10
Shandi Finnessey,4,2,2,4,20.0,6.666666666666667,0,10
Shandi Finnessey,4,3,2,4,21.0,7.0,1,10
Paulina Porizkova,4,1,2,4,19.0,6.333333333333333,0,11
Paulina Porizkova,4,2,2,4,21.0,7.0,1,11
Heather Mills,4,1,2,4,18.0,6.0,0,7
Heather Mills,4,2,2,4,24.0,8.0,0,7
Heather Mills,4,3,2,4,24.0,8.0,0,7
Heather Mills,4,4,2,4,23.0,7.666666666666667,0,7
Heather Mills,4,5,2,4,21.0,7.0,0,7
Heather Mills,4,6,2,4,23.0,7.666666666666667,1,7
Billy Ray Cyrus,4,1,2,4,13.0,4.333333333333333,0,5
Billy Ray Cyrus,4,2,2,4,21.0,7.0,0,5
Billy Ray Cyrus,4,3,2,4,21.0,7.0,0,5
Billy Ray Cyrus,4,4,2,4,21.0,7.0,0,5
Billy Ray Cyrus,4,5,2,4,17.0,5.666666666666667,0,5
Billy Ray Cyrus,4,6,2,4,21.0,7.0,0,5
Billy Ray Cyrus,4,7,2,4,19.0,6.333333333333333,0,5
Billy Ray Cyrus,4,8,2,4,19.0,6.333333333333333,1,5
Joey Fatone,4,1,2,4,24.0,8.0,0,2
Joey Fatone,4,2,2,4,24.0,8.0,0,2
Joey Fatone,4,3,2,4,24.0,8.0,0,2
Joey Fatone,4,4,2,4,28.0,9.333333333333334,0,2
Joey Fatone,4,5,2,4,25.0,8.333333333333334,0,2
Joey Fatone,4,6,2,4,27.0,9.0,0,2
Joey Fatone,4,7,2,4,29.5,9.833333333333334,0,2
Joey Fatone,4,8,2,4,27.5,9.166666666666666,0,2
Joey Fatone,4,9,2,4,30.0,10.0,0,2
Joey Fatone,4,10,2,4,28.6665,9.5555,0,2
Leeza Gibbons,4,1,2,4,15.0,5.0,0,9
Leeza Gibbons,4,2,2,4,21.0,7.0,0,9
Leeza Gibbons,4,3,2,4,24.0,8.0,0,9
Leeza Gibbons,4,4,2,4,16.0,5.333333333333333,1,9
Cameron Mathison,5,1,2,4,21.0,7.0,0,5
Cameron Mathison,5,2,2,4,21.0,7.0,0,5
Cameron Mathison,5,3,2,4,23.0,7.666666666666667,0,5
Cameron Mathison,5,4,2,4,27.0,9.0,0,5
Cameron Mathison,5,5,2,4,26.0,8.666666666666666,0,5
Cameron Mathison,5,6,2,4,25.0,8.333333333333334,0,5
Cameron Mathison,5,7,2,4,25.5,8.5,0,5
Cameron Mathison,5,8,2,4,25.5,8.5,1,5
Jane Seymour,5,1,2,4,24.0,8.0,0,6
Jane Seymour,5,2,2,4,21.0,7.0,0,6
Jane Seymour,5,3,2,4,27.0,9.0,0,6
Jane Seymour,5,4,2,4,26.0,8.666666666666666,0,6
Jane Seymour,5,5,2,4,26.0,8.666666666666666,0,6
Jane Seymour,5,6,2,4,22.0,7.333333333333333,0,6
Jane Seymour,5,7,2,4,25.0,8.333333333333334,1,6
Sabrina Bryan,5,1,2,4,26.0,8.666666666666666,0,7
Sabrina Bryan,5,2,2,4,26.0,8.666666666666666,0,7
Sabrina Bryan,5,3,2,4,27.0,9.0,0,7
Sabrina Bryan,5,4,2,4,30.0,10.0,0,7
Sabrina Bryan,5,5,2,4,28.0,9.333333333333334,0,7
Sabrina Bryan,5,6,2,4,25.0,8.333333333333334,1,7
Jennie Garth,5,1,2,4,21.0,7.0,0,4
Jennie Garth,5,2,2,4,21.0,7.0,0,4
Jennie Garth,5,3,2,4,26.0,8.666666666666666,0,4
Jennie Garth,5,4,2,4,27.0,9.0,0,4
Jennie Garth,5,5,2,4,25.0,8.333333333333334,0,4
Jennie Garth,5,6,2,4,27.0,9.0,0,4
Jennie Garth,5,7,2,4,26.5,8.833333333333334,0,4
Jennie Garth,5,8,2,4,25.0,8.333333333333334,0,4
Jennie Garth,5,9,2,4,29.0,9.666666666666666,1,4
Floyd Mayweather Jr. ,5,1,2,4,18.0,6.0,0,9
Floyd Mayweather Jr. ,5,2,2,4,21.0,7.0,0,9
Floyd Mayweather Jr. ,5,3,2,4,21.0,7.0,0,9
Floyd Mayweather Jr. ,5,4,2,4,23.0,7.666666666666667,1,9
Josie Maran,5,1,2,4,16.0,5.333333333333333,1,12
Albert Reed,5,1,2,4,21.0,7.0,0,11
Albert Reed,5,2,2,4,21.0,7.0,1,11
Helio Castroneves,5,1,2,4,25.0,8.333333333333334,0,1
Helio Castroneves,5,2,2,4,27.0,9.0,0,1
Helio Castroneves,5,3,2,4,24.0,8.0,0,1
Helio Castroneves,5,4,2,4,27.0,9.0,0,1
Helio Castroneves,5,5,2,4,23.0,7.666666666666667,0,1
Helio Castroneves,5,6,2,4,28.0,9.333333333333334,0,1
Helio Castroneves,5,7,2,4,26.0,8.666666666666666,0,1
Helio Castroneves,5,8,2,4,28.5,9.5,0,1
Helio Castroneves,5,9,2,4,30.0,10.0,0,1
Helio Castroneves,5,10,2,4,27.999900000000004,9.333300000000001,0,1
Mel B,5,1,2,4,24.0,8.0,0,2
Mel B,5,2,2,4,23.0,7.666666666666667,0,2
Mel B,5,3,2,4,27.0,9.0,0,2
Mel B,5,4,2,4,26.0,8.666666666666666,0,2
Mel B,5,5,2,4,29.0,9.666666666666666,0,2
Mel B,5,6,2,4,30.0,10.0,0,2
Mel B,5,7,2,4,27.0,9.0,0,2
Mel B,5,8,2,4,28.0,9.333333333333334,0,2
Mel B,5,9,2,4,30.0,10.0,0,2
Mel B,5,10,2,4,28.333199999999998,9.4444,0,2
Wayne Newton,5,1,2,4,19.0,6.333333333333333,0,10
Wayne Newton,5,2,2,4,15.0,5.0,0,10
Wayne Newton,5,3,2,4,18.0,6.0,1,10
Marie Osmond,5,1,2,4,21.0,7.0,0,3
Marie Osmond,5,2,2,4,24.0,8.0,0,3
Marie Osmond,5,3,2,4,26.0,8.666666666666666,0,3
Marie Osmond,5,4,2,4,26.0,8.666666666666666,0,3
Marie Osmond,5,5,2,4,21.0,7.0,0,3
Marie Osmond,5,6,2,4,23.0,7.666666666666667,0,3
Marie Osmond,5,7,2,4,26.0,8.666666666666666,0,3
Marie Osmond,5,8,2,4,24.5,8.166666666666666,0,3
Marie Osmond,5,9,2,4,28.0,9.333333333333334,0,3
Marie Osmond,5,10,2,4,23.0,7.666666666666667,0,3
Mark Cuban,5,1,2,4,21.0,7.0,0,8
Mark Cuban,5,2,2,4,18.0,6.0,0,8
Mark Cuban,5,3,2,4,20.0,6.666666666666667,0,8
Mark Cuban,5,4,2,4,22.0,7.333333333333333,0,8
Mark Cuban,5,5,2,4,21.0,7.0,1,8
Cristian de la Fuente,6,1,2,4,21.0,7.0,0,3
Cristian de la Fuente,6,2,2,4,20.0,6.666666666666667,0,3
Cristian de la Fuente,6,3,2,4,25.0,8.333333333333334,0,3
Cristian de la Fuente,6,4,2,4,26.0,8.666666666666666,0,3
Cristian de la Fuente,6,5,2,4,23.0,7.666666666666667,0,3
Cristian de la Fuente,6,6,2,4,27.0,9.0,0,3
Cristian de la Fuente,6,7,2,4,23.0,7.666666666666667,0,3
Cristian de la Fuente,6,8,2,4,28.5,9.5,0,3
Cristian de la Fuente,6,9,2,4,28.0,9.333333333333334,0,3
Cristian de la Fuente,6,10,2,4,26.0,8.666666666666666,0,3
Steve Guttenberg,6,1,2,4,18.0,6.0,0,10
Steve Guttenberg,6,2,2,4,16.0,5.333333333333333,0,10
Steve Guttenberg,6,3,2,4,21.0,7.0,1,10
Priscilla Presley,6,1,2,4,24.0,8.0,0,8
Priscilla Presley,6,2,2,4,21.0,7.0,0,8
Priscilla Presley,6,3,2,4,26.0,8.666666666666666,0,8
Priscilla Presley,6,4,2,4,22.0,7.333333333333333,0,8
Priscilla Presley,6,5,2,4,21.0,7.0,1,8
Marlee Matlin,6,1,2,4,22.0,7.333333333333333,0,7
Marlee Matlin,6,2,2,4,24.0,8.0,0,7
Marlee Matlin,6,3,2,4,21.0,7.0,0,7
Marlee Matlin,6,4,2,4,24.0,8.0,0,7
Marlee Matlin,6,5,2,4,22.0,7.333333333333333,0,7
Marlee Matlin,6,6,2,4,21.0,7.0,1,7
Shannon Elizabeth,6,1,2,4,21.0,7.0,0,6
Shannon Elizabeth,6,2,2,4,24.0,8.0,0,6
Shannon Elizabeth,6,3,2,4,24.0,8.0,0,6
Shannon Elizabeth,6,4,2,4,28.0,9.333333333333334,0,6
Shannon Elizabeth,6,5,2,4,23.0,7.666666666666667,0,6
Shannon Elizabeth,6,6,2,4,24.0,8.0,0,6
Shannon Elizabeth,6,7,2,4,25.5,8.5,1,6
Marissa Jaret Winokur,6,1,2,4,18.0,6.0,0,4
Marissa Jaret Winokur,6,2,2,4,21.0,7.0,0,4
Marissa Jaret Winokur,6,3,2,4,19.0,6.333333333333333,0,4
Marissa Jaret Winokur,6,4,2,4,24.0,8.0,0,4
Marissa Jaret Winokur,6,5,2,4,24.0,8.0,0,4
Marissa Jaret Winokur,6,6,2,4,26.0,8.666666666666666,0,4
Marissa Jaret Winokur,6,7,2,4,26.0,8.666666666666666,0,4
Marissa Jaret Winokur,6,8,2,4,25.0,8.333333333333334,0,4
Marissa Jaret Winokur,6,9,2,4,26.0,8.666666666666666,1,4
Jason Taylor,6,1,2,4,22.0,7.333333333333333,0,2
Jason Taylor,6,2,2,4,27.0,9.0,0,2
Jason Taylor,6,3,2,4,23.0,7.666666666666667,0,2
Jason Taylor,6,4,2,4,29.0,9.666666666666666,0,2
Jason Taylor,6,5,2,4,27.0,9.0,0,2
Jason Taylor,6,6,2,4,24.0,8.0,0,2
Jason Taylor,6,7,2,4,27.5,9.166666666666666,0,2
Jason Taylor,6,8,2,4,26.0,8.666666666666666,0,2
Jason Taylor,6,9,2,4,27.5,9.166666666666666,0,2
Jason Taylor,6,10,2,4,28.5,9.5,0,2
Kristi Yamaguchi,6,1,2,4,27.0,9.0,0,1
Kristi Yamaguchi,6,2,2,4,27.0,9.0,0,1
Kristi Yamaguchi,6,3,2,4,27.0,9.0,0,1
Kristi Yamaguchi,6,4,2,4,29.0,9.666666666666666,0,1
Kristi Yamaguchi,6,5,2,4,29.0,9.666666666666666,0,1
Kristi Yamaguchi,6,6,2,4,30.0,10.0,0,1
Kristi Yamaguchi,6,7,2,4,27.0,9.0,0,1
Kristi Yamaguchi,6,8,2,4,27.5,9.166666666666666,0,1
Kristi Yamaguchi,6,9,2,4,28.5,9.5,0,1
Kristi Yamaguchi,6,10,2,4,30.0,10.0,0,1
Monica Seles,6,1,2,4,15.0,5.0,0,11
Monica Seles,6,2,2,4,15.0,5.0,1,11
Penn Jillette,6,1,2,4,16.0,5.333333333333333,0,12
Penn Jillette,6,2,2,4,17.0,5.666666666666667,1,12
Adam Carolla,6,1,2,4,15.0,5.0,0,9
Adam Carolla,6,2,2,4,19.0,6.333333333333333,0,9
Adam Carolla,6,3,2,4,21.0,7.0,0,9
Adam Carolla,6,4,2,4,19.0,6.333333333333333,1,9
Mario,6,1,2,4,24.0,8.0,0,5
Mario,6,2,2,4,26.0,8.666666666666666,0,5
Mario,6,3,2,4,21.0,7.0,0,5
Mario,6,4,2,4,24.0,8.0,0,5
Mario,6,5,2,4,27.0,9.0,0,5
Mario,6,6,2,4,28.0,9.333333333333334,0,5
Mario,6,7,2,4,25.5,8.5,0,5
Mario,6,8,2,4,26.5,8.833333333333334,1,5
Ted McGinley,7,1,2,4,18.5,6.166666666666667,1,12
Cloris Leachman,7,1,2,4,16.0,5.333333333333333,0,7
Cloris Leachman,7,2,2,4,15.0,5.0,0,7
Cloris Leachman,7,3,2,4,16.0,5.333333333333333,0,7
Cloris Leachman,7,4,2,4,22.0,7.333333333333333,0,7
Cloris Leachman,7,5,2,4,21.0,7.0,0,7
Cloris Leachman,7,6,2,4,15.0,5.0,1,7
Susan Lucci,7,1,2,4,18.5,6.166666666666667,0,6
Susan Lucci,7,2,2,4,21.0,7.0,0,6
Susan Lucci,7,3,2,4,21.0,7.0,0,6
Susan Lucci,7,4,2,4,24.0,8.0,0,6
Susan Lucci,7,5,2,4,22.0,7.333333333333333,0,6
Susan Lucci,7,6,2,4,23.0,7.666666666666667,0,6
Susan Lucci,7,7,2,4,24.0,8.0,1,6
Cody Linley,7,1,2,4,20.5,6.833333333333333,0,4
Cody Linley,7,2,2,4,21.0,7.0,0,4
Cody Linley,7,3,2,4,21.0,7.0,0,4
Cody Linley,7,4,2,4,23.0,7.666666666666667,0,4
Cody Linley,7,5,2,4,28.0,9.333333333333334,0,4
Cody Linley,7,6,2,4,23.0,7.666666666666667,0,4
Cody Linley,7,7,2,4,22.0,7.333333333333333,0,4
Cody Linley,7,8,2,4,24.0,8.0,0,4
Cody Linley,7,9,2,4,23.0,7.666666666666667,1,4
Misty May-Treanor,7,1,2,4,21.0,7.0,0,10
Misty May-Treanor,7,2,2,4,21.0,7.0,0,10
Maurice Greene,7,1,2,4,19.5,6.5,0,5
Maurice Greene,7,2,2,4,19.0,6.333333333333333,0,5
Maurice Greene,7,3,2,4,24.0,8.0,0,5
Maurice Greene,7,4,2,4,20.0,6.666666666666667,0,5
Maurice Greene,7,5,2,4,27.0,9.0,0,5
Maurice Greene,7,6,2,4,21.0,7.0,0,5
Maurice Greene,7,7,2,4,25.0,8.333333333333334,0,5
Maurice Greene,7,8,2,4,24.0,8.0,1,5
Warren Sapp,7,1,2,4,21.5,7.166666666666667,0,2
Warren Sapp,7,2,2,4,24.0,8.0,0,2
Warren Sapp,7,3,2,4,25.0,8.333333333333334,0,2
Warren Sapp,7,4,2,4,22.0,7.333333333333333,0,2
Warren Sapp,7,5,2,4,25.0,8.333333333333334,0,2
Warren Sapp,7,6,2,4,25.0,8.333333333333334,0,2
Warren Sapp,7,7,2,4,21.0,7.0,0,2
Warren Sapp,7,8,2,4,27.0,9.0,0,2
Warren Sapp,7,9,2,4,24.5,8.166666666666666,0,2
Warren Sapp,7,10,2,4,27.5,9.166666666666666,0,2
Jeffrey Ross,7,1,2,4,12.0,4.0,1,13
Toni Braxton,7,1,2,4,22.5,7.5,0,8
Toni Braxton,7,2,2,4,23.0,7.666666666666667,0,8
Toni Braxton,7,3,2,4,22.0,7.333333333333333,0,8
Toni Braxton,7,4,2,4,22.0,7.333333333333333,0,8
Toni Braxton,7,5,2,4,22.0,7.333333333333333,1,8
Lance Bass,7,1,2,4,21.5,7.166666666666667,0,3
Lance Bass,7,2,2,4,20.0,6.666666666666667,0,3
Lance Bass,7,3,2,4,22.0,7.333333333333333,0,3
Lance Bass,7,4,2,4,26.0,8.666666666666666,0,3
Lance Bass,7,5,2,4,21.0,7.0,0,3
Lance Bass,7,6,2,4,27.0,9.0,0,3
Lance Bass,7,7,2,4,25.0,8.333333333333334,0,3
Lance Bass,7,8,2,4,25.0,8.333333333333334,0,3
Lance Bass,7,9,2,4,28.5,9.5,0,3
Lance Bass,7,10,2,4,27.5,9.166666666666666,0,3
Kim Kardashian,7,1,2,4,18.5,6.166666666666667,0,11
Kim Kardashian,7,2,2,4,17.0,5.666666666666667,1,11
Rocco DiSpirito,7,1,2,4,17.5,5.833333333333333,0,9
Rocco DiSpirito,7,2,2,4,16.0,5.333333333333333,0,9
Rocco DiSpirito,7,3,2,4,20.0,6.666666666666667,0,9
Rocco DiSpirito,7,4,2,4,18.0,6.0,1,9
Brooke Burke,7,1,2,4,24.5,8.166666666666666,0,1
Brooke Burke,7,2,2,4,24.0,8.0,0,1
Brooke Burke,7,3,2,4,28.0,9.333333333333334,0,1
Brooke Burke,7,4,2,4,26.0,8.666666666666666,0,1
Brooke Burke,7,5,2,4,29.0,9.666666666666666,0,1
Brooke Burke,7,6,2,4,26.0,8.666666666666666,0,1
Brooke Burke,7,7,2,4,30.0,10.0,0,1
Brooke Burke,7,8,2,4,27.5,9.166666666666666,0,1
Brooke Burke,7,9,2,4,24.5,8.166666666666666,0,1
Brooke Burke,7,10,2,4,30.0,10.0,0,1
Gilles Marini,8,1,2,4,24.0,8.0,0,2
Gilles Marini,8,2,2,4,27.0,9.0,0,2
Gilles Marini,8,3,2,4,27.0,9.0,0,2
Gilles Marini,8,4,2,4,30.0,10.0,0,2
Gilles Marini,8,5,2,4,29.0,9.666666666666666,0,2
Gilles Marini,8,6,2,4,26.0,8.666666666666666,0,2
Gilles Marini,8,7,2,4,27.0,9.0,0,2
Gilles Marini,8,8,2,4,27.5,9.166666666666666,0,2
